PIG_RACING |= 돼지 경주
UI_GoddessOfferings_GoddessDay |= 여신의 날이며, 선택된 여신은 <VAR1>과 <VAR2>입니다. 당신은 제물을 바칠 수 있지만 오직 한 여신에게만 바칠 수 있습니다.

UI_Interact_Bake |= 굽기
UI_Interact_Cook |= 요리하기
UI_Interact_Store |= 저장
UI_Interact_Pickup |= 줍기
UI_Interact_Interact |= 상호작용
UI_Interact_Dismiss |= 해고
UI_Interact_Teleport |= 텔레포트
UI_Interact_Offer |= 제공
UI_Interact_Craft |= 제작
UI_Interact_Grind |= 빻기
UI_Interact_Infuse |= 붓기
UI_Interact_Mix |= 섞기
UI_Interact_Distill |= 증류
UI_Interact_Bid |= 입찰
UI_Interact_Finish |= 끝내기
UI_Interact_Knock |= 두드리기
UI_Interact_Map |= 지도
UI_Interact_Check |= 확인
UI_Interact_Shake |= 흔들기
UI_Interact_Plant |= 심기
UI_Interact_Stock |= 저장
UI_Interact_Sell |= 팔기

UI_Ledger |= 장부
UI_Ledger_AllLedgers |= 모든 장부
UI_Ledger_Accounts |= Accounts
UI_Ledger_Timescale |= Timescale
UI_Ledger_Staff |= 직원
UI_Ledger_Hire |= 고용
UI_Ledger_ForHire |= 대여
UI_Ledger_HireQuestion |= Hire <VAR1> for ☎<VAR2>/hour?
UI_Ledger_Fire |= Fire
UI_Ledger_ChangePay |= Change Pay
UI_Ledger_HourlyPay |= Set <VAR1>'s hourly pay:
UI_Ledger_NPCPayChoice |= Set Expected
UI_Ledger_FireQuestion |= Fire <VAR1>?
UI_Ledger_PayHour |= Pay/Hour
UI_Ledger_Energy |= Energy
UI_Ledger_GoodsStoreLevel |= Goods Store Level
UI_Ledger_ApothecaryLevel |= Apothecary Level
UI_Ledger_BlacksmithLevel |= Blacksmith Level
UI_Ledger_TavernLevel |= Tavern level
UI_Ledger_Orders |= Orders
UI_Ledger_Orders_Upcoming |= Upcoming
UI_Ledger_Orders_DueToday |= Due today
UI_Ledger_OpenLedger |= 장부 열기
UI_Ledger_RenameShop |= Rename Shop
UI_Ledger_Sell |= Sell
UI_Ledger_SellShop |= Sell Shop
UI_Ledger_SellQuestion |= Sell <VAR1> for ☎<VAR2>?
UI_Ledger_Reputation |= Reputation and Customer Catchment
UI_Ledger_Rank |= Rank <VAR1>
UI_Ledger_PerkPoints |= Perk Points
UI_Ledger_PerkPointGet_GoodsStore |= Goods Stores gained a Perk Point
UI_Ledger_PerkPointGet_Blacksmith |= Blacksmiths gained a Perk Point
UI_Ledger_PerkPointGet_Apothecary |= Apothecaries gained a Perk Point
UI_Ledger_PerkPointGet_Tavern |= Taverns gained a Perk Point
UI_Ledger_Rota_AM |= AM rota
UI_Ledger_Rota_PM |= PM rota
UI_Ledger_Rota_Staff |= Staff:
UI_Ledger_Rota_NoStaff |= This shop has no staff.
UI_Ledger_Rota_TimeA |= 12-3am
UI_Ledger_Rota_TimeB |= 3-6am
UI_Ledger_Rota_TimeC |= 6-9am
UI_Ledger_Rota_TimeD |= 9-12pm
UI_Ledger_Rota_TimeE |= 12-3pm
UI_Ledger_Rota_TimeF |= 3-6pm
UI_Ledger_Rota_TimeG |= 6-9pm
UI_Ledger_Rota_TimeH |= 9-12am
UI_Ledger_Specialisation |= Specialisation
UI_Ledger_NoSpecialisation |= No specialisation
UI_Ledger_MinimumRep |= Min REP: <VAR1> at ☎<VAR2>
UI_Ledger_MaximumRep |= Max REP: <VAR1> at ☎<VAR2>
UI_Ledger_PriceRangeSameRep |= Items sold for ☎<VAR1>-<VAR2> gained <VAR3> REP each
UI_Ledger_PriceRangeRep |= Items sold for ☎<VAR1>-<VAR2> gained <VAR3>-<VAR4> REP each
UI_Ledger_Rep |= Items sold for ☎<VAR1> gained <VAR2>-<VAR3> REP each
UI_Ledger_SameRep |= Items sold for ☎<VAR1> gained <VAR2> REP each
UI_Ledger_Sold |= Sold <VAR1> for ☎<VAR2> (☎<VAR3> from bartering)
UI_Ledger_Bought |= Bought <VAR1> for ☎<VAR2>
UI_Apoth_Cure |= Cure
UI_Apoth_Cure_Sideeffects |= Cure with side effects
UI_Apoth_PartialCure |= Partial Cure
UI_Apoth_PartialCure_SideEffect |= Partial Cure with side effects
UI_Apoth_FailedCure |= Failed Cure
UI_Apoth_Placebo |= Placebo
UI_ApothAilmentInfo |= <VAR1> patient for ☎<VAR2> and <VAR3> REP
UI_ApothAilmentInfoPlural |= <VAR1> patients for ☎<VAR2> and <VAR3> REP

UI_Mail_OpenGift |= 선물 열기
UI_Mail_Unread |= Unread
UI_Mail_Archive |= Archive
UI_Mail_WaitGift |= Wait a moment... what's this?
UI_Mail_FairweatherAdvert |= Fairweather Ad
UI_Mail_DandyAdvert |= Dandy Ad

UI_NoticeBoard_AddTask |= 과제 추가
UI_NoticeBoard_AddCalendar |= 달력에 추가

UI_Skills_Acquired |= Acquired
UI_Skills_Locked |= Locked
UI_Skills_NotImplemented |= Not implemented
UI_Skills_AcquireAboveSkills |= Acquire the skills above to unlock.
UI_Skills_SeekMaster |= Seek out <VAR1> to learn more about this skill tree.
UI_Skills_VisitMaster |= Visit <VAR1> to acquire.
UI_Skills_Gardening |= Gardening
UI_Skills_Fishing |= Fishing
UI_Skills_Cooking |= Cooking
UI_Skills_Melee |= Melee
UI_Skills_Ranged |= Ranged
UI_Skills_Explore |= Exploration
UI_Skills_GiftToMaster |= Gift Items to Master
UI_Skills_VisitMasterToGift |= Visit master to gift

UI_Storage_Larder |= 식료품 저장소
UI_Storage_Stock |= 재고
UI_Storage_Materials |= 재료 캐비닛
UI_Storage_Blacksmith |= 대장간
UI_Storage_GoodsStore |= Goods Store
UI_Storage_Order |= Order Stock
UI_Storage_OrderMaterials |= Order Materials
UI_Storage_Order_Locked |= You need to unlock Stock Quality 01 perk for this.
UI_Storage_ToggleStorage |= Storage
UI_Storage_Inventory |= Inventory
UI_Storage_MoveOne |= Move One
UI_Storage_MoveStack |= Move Stack
UI_Storage_GluttonsTrough |= Glutton's Trough
UI_Storage_ContainerEmpty |= This container is empty
UI_Storage_Honesty |= Items to Sell
UI_Storage_ToolShed |= Tool Shed

UI_Calendar_TodayIs |= 오늘은
UI_Calendar_UnknownBirthday |= 알 수 없음
UI_Calendar_Birthday |= <VAR1> 생일
UI_Calendar_Calendar |= 달력
UI_Calendar_Builds |= Builds
UI_Calendar_Tasks |= 과제
UI_Calendar_Tasks_RemoveAsk |= <VAR1>\n이 과제를 삭제할까요?
UI_Calendar_Tasks_Remove |= 과제 삭제하기
UI_Calendar_Tasks_SetActive |= Set Thatterway
UI_Calendar_Tasks_UnsetActive |= Unset Thatterway
UI_Calendar_Tasks_Pin |= HUD에 표시
UI_Calendar_Tasks_Unpin |= 과제 선택해제
UI_Calendar_Tasks_All |= All
UI_Calendar_Tasks_Special |= 특별한
UI_Calendar_Tasks_Weekly |= 주간
UI_Calendar_Tasks_Daily |= 일간
UI_Calendar_Tasks_AllTitle |= 모든 과제
UI_Calendar_Tasks_StoryTitle |= 스토리 과제
UI_Calendar_Tasks_NoticeboardTitle |= 게시판 과제
UI_Calendar_Tasks_NPCTitle |= NPC 과제
UI_Calendar_Tasks_EventTitle |= 이벤트 과제
UI_Calendar_Tasks_MiscTitle |= 잡다한 과제
UI_Calendar_Tasks_Reward |= 보상:

UI_MarriagePicker_EventsOnThatDay |= Events on that day
UI_MarriagePicker_AcceptDate |= Accept date
UI_MarriagePicker_Confirm |= Get married on <VAR1>?

UI_Title_NewGame |= 새로운 게임
UI_Title_Continue |= 계속하기
UI_Title_Load |= 불러오기
UI_Title_ExitDesktop |= 바탕화면으로 나갈까요?
UI_Title_Copyright |= Copyright 2017-2024 PixelCount Studios Limited. All Rights Reserved.
UI_Title_ConfirmDelete |= 이 저장 슬롯을 삭제할까요?
UI_Title_CannotDelete |= 저장 슬롯을 삭제할수 없습니다.
UI_Title_SuccessDelete |= 저장 슬롯이 삭제되었습니다.
UI_Title_CannotLoad |= 최신 저장을 불러올 수 없습니다.
UI_Title_Experimental |= 실험적이고 불안정한 빌드입니다.
UI_Title_ExperimentalLoad |= 이 저장은 그대로 유지되며 이 빌드를 시험해 볼 수 있도록 실험용 저장 폴더에 복사본이 만들어집니다. 실험적인 빌드는 불안정하며 업데이트로 인해 손상될 수 있습니다. 문제가 있으면 Discord에 보고하거나 이메일을 통해 bugs@kynseed.com으로 보내주세요.

UI_Pause_Resume |= 재개하기
UI_Pause_Return |= 돌아가기
UI_Pause_Options |= 옵션
UI_Pause_Credits |= Credits
UI_Pause_ToTitle |= 타이틀로 돌아가기
UI_Pause_ToTitle_Ask |= 타이틀 화면으로 나갈까요?
UI_Pause_ToDesktop |= 바탕화면으로 나가기
UI_Pause_ToDesktop_Ask |= 바탕화면으로 나갈까요?
UI_Pause_Changelog |= Changelog
UI_Pause_HowToPlay |= Hints & Tips
UI_Pause_Progress |= 플레이어 진행 상황

UI_Settings_Settings |= Settings
UI_Settings_Language |= ‰ 언어
UI_Settings_Display |= Display
UI_Settings_Audio |= Audio
UI_Settings_Control |= Control
UI_Settings_UI |= UI
UI_Settings_Accessibility |= Accessibility
UI_Settings_Fullscreen |= Fullscreen
UI_Settings_Vsync |= VSync
UI_Settings_Emission |= Emission
UI_Settings_Bloom |= Bloom
UI_Settings_Water |= Water
UI_Settings_InputMode |= Input display mode
UI_Settings_GamepadType |= Gamepad display type
UI_Settings_StreamerMode |= Streamer mode
UI_Settings_HideHUD |= Hide entire HUD
UI_Settings_HidePCToolbar |= Hide keyboard/mouse toolbar
UI_Settings_HideItemTooltips |= Hide active item tooltips
UI_Settings_TextAntiAliasing |= Text anti-aliasing
UI_Settings_PortraitStyle |= High resolution portraits
UI_Settings_TextBackground |= In-world text background
UI_Settings_DialogueSpeed |= Dialogue speed
UI_Settings_DialogueNormal |= Normal
UI_Settings_DialogueFast |= Fast
UI_Settings_DialogueInstant |= Instant
UI_Settings_DisableScreenshake |= Disable screenshake
UI_Settings_DisableVibration |= Disable gamepad vibration
UI_Settings_CombatSpeed |= Combat monster speed
UI_Settings_RigidCamera |= Rigid camera movement
UI_Settings_ReduceFlashing |= Reduce flashing
UI_Settings_NoWarping |= Disable warping effects
UI_Settings_Gamepad |= Gamepad
UI_Settings_KBM |= Keyboard & Mouse
UI_Settings_InvertX |= Invert thumbstick X
UI_Settings_InvertY |= Invert thumbstick Y
UI_Settings_InvertRing |= Invert item select ring
UI_Settings_MousewheelItemSelect |= Invert mouse wheel selection
UI_Settings_InvertHotbar |= Invert hotbar
UI_Settings_DefaultRun |= Default speed
UI_Settings_SpeedWalk |= Walk
UI_Settings_SpeedRun |= Run
UI_Settings_KBMInteract |= Keyboard/Mouse interact menu
UI_Settings_GamepadInteract |= Gamepad interact menu
UI_Settings_MapKeyboard |= Remap Keyboard
UI_Settings_MapGamepad |= Remap Gamepad
UI_Settings_PrimaryThumbstick |= Primary thumbstick
UI_Settings_PrimaryMouse |= Primary mouse button
UI_Settings_DisableGamepad |= Disable gamepad input
UI_Settings_DisableGamepadQuestion |= Disable all gamepad input?
UI_Settings_Music |= 음악
UI_Settings_Ambient |= Ambient
UI_Settings_Pronounce |= How to pronounce Kynseed
UI_Settings_SoundEffects |= Sound effects
UI_Settings_Click |= Press once
UI_Settings_Hold |= Hold
UI_Settings_Off |= Off
UI_Settings_Low |= Low
UI_Settings_High |= High
UI_Settings_AutoDetect |= Auto
UI_Settings_GamepadXbox |= Xbox
UI_Settings_GamepadSwitch |= Switch
UI_Settings_GamepadPS |= Playstation
UI_Settings_KeyboardMouse |= Keyboard/mouse
UI_Settings_ContextDialogue |= In-world text
UI_Settings_TestDialogue |= Here is your selected dialogue speed.
UI_Settings_Remap_Clear |= Clear Key
UI_Settings_Remap_Gameplay |= 게임플레이
UI_Settings_Remap_Combat |= Combat
UI_Settings_Remap_UI |= 인터페이스
UI_Settings_Remap_NotMapped |= "<VAR1>" is not mapped.
UI_Settings_RestoreDefault |= Restore Default

UI_Barter_SoldItem |= 아이템 팔기
UI_Barter_ForPrice |= For ☎<VAR1>!

UI_Choice_PurchaseItem |= Purchase <VAR1>?
UI_BuyShop_Value |= <VAR1> is valued at ☎<VAR2>.
UI_BuyShop_ComesWith |= It comes with the following items:
UI_BuyShop_Buy |= Buy Shop

UI_Chat_HowAreYou |= 어떻게 지내요?
UI_Chat_WhatsHappening |= 무슨 일이에요?
UI_Chat_WhatsHappeningImportant |= ☋ 무슨 일이에요?
UI_Chat_Goodbye |= Goodbye
UI_Chat_Gift |= 선물
UI_Chat_GiftTask |= Gift / Task
UI_Chat_Gossip_People |= People
UI_Chat_Gossip_Items |= Items
UI_Chat_Gossip_World |= World

UI_Fairweather_Free |= Free
UI_Fairweather_Confirm |= Take the <VAR1>?
UI_Fairweather_Arcane |= Arcane
UI_Fairweather_Special |= REP Shop
UI_Fairweather_SoldOut |= Sold Out
UI_Fairweather_Bought |= Bought

UI_SecretBox_Property |= Property of <VAR1>
UI_SecretBox_Taken |= Contents taken for this generation
UI_SecretBox_Unlock |= Attempt unlock

UI_GamepadRing_Tools |= Tools
UI_GamepadRing_Containers |= Containers
UI_GamepadRing_Throwables |= Throwables

UI_Lemon_Open |= Open stand for how many hours?
UI_Lemon_OpenCost |= Open <VAR1>
UI_Lemon_Price |= Price
UI_Lemon_Time |= Time
UI_Lemon_Profit |= Profit
UI_Lemon_ChangeItem |= Change Item
UI_Lemon_ChangePrice |= Change Price
UI_Lemon_CloseEarly |= Close the stall early?
UI_Lemon_Close |= Close stall
UI_Lemon_SetPrice |= Set price:

UI_Interact_Introduce |= 소개
UI_Interact_Talk |= 대화
UI_Interact_Play |= Play
UI_Interact_Gift |= 선물
UI_Interact_GiftTask |= 선물 / 과제
UI_Interact_Ride |= 타기
UI_Interact_Pet |= Pet
UI_Interact_Buy |= 구매
UI_Interact_Follow |= 동행
UI_Interact_Swap |= 교환
UI_Interact_Stop |= 멈춤
UI_Interact_Feed |= <VAR1> 먹이기

UI_OrderStock_Arriving |= Arriving <VAR1>
UI_OrderStock_AlreadyOrdered |= Stock already on order!
UI_OrderStock_Order10 |= Order 10 <VAR1>
UI_OrderStock_Order10From |= Order 10 from <VAR1>
UI_OrderStock_OrderItem |= Order <item:<VAR1>> <VAR2>
UI_OrderStock_BudgetBox |= Budget Box <VAR1>
UI_OrderStock_NormalBox |= Normal Box <VAR1>
UI_OrderStock_PremiumBox |= Premium Box <VAR1>

UI_Dandy_Clothing |= Clothing
UI_Dandy_Cost |= Cost x<VAR1> <VAR2>
UI_Dandy_NoChange |= No change

UI_Popup_Proverb |= Proverb
UI_Popup_ProverbCollection |= <VAR1>x Collected

UI_PottNotice_Title |= If ya findin yer mind all dizzy\nHere's some wairk to keep ya busy
UI_NoSeeds |= No seeds to plant
UI_NoMagicSeeds |= No magic seeds to plant

UI_RaceBet_CannotAfford |= Come back when you have some Brass; it costs ☎<VAR1> to enter.
UI_RaceBet_Question |= Which animal will win? Pay ☎<VAR1> to enter.
UI_RaceBet_YouWon |= Congratulations, <PlayerName>, your choice won!
UI_RaceBet_YouWon |= Congratulations, here's your prize!
UI_RaceBet_YouWon |= Very lucky, <PlayerName>! Take your prize...
UI_RaceBet_YouLost |= Sorry, you didn't win this time, <PlayerName>.
UI_RaceBet_YouLost |= Unlucky - better luck next time!
UI_RaceBet_YouLost |= Hard luck, <PlayerName>.

UI_Rename_SetName |= Set name
UI_Rename_Rename |= Rename
UI_Rename_RenamePet |= Rename <VAR1>
UI_Rename_NotYourPet |= You cannot rename this animal.

UI_Sleep_SetTime |= Set wake-up
UI_Sleep_SleepSave |= Sleep & Save
UI_Sleep_Sleep |= Sleep
UI_Sleep_ChildWarning |= Children must sleep from 11pm to 6am.\nYou will awaken at 6am.

UI_Squeal_AcceptOffer |= Accept offer
UI_Squeal_Play |= Play ☎<VAR1>

UI_Tinker_Ask |= What do you want to do?
UI_Tinker_Buy |= Buy ☎<VAR1>
UI_Tinker_BuyQuestion |= Buy <VAR1> for the <VAR2>?
UI_Tinker_Bought |= Bought
UI_Tinker_NoShops |= No shops owned

UI_MinigameProgress_Complete |= Complete
UI_MinigameProgress_StageClear |= Stage clear

UI_Rod_Ripple |= Ripple
UI_Rod_Cast |= Cast
UI_Rod_Reel |= Reel
UI_Rod_FishEye |= Fish Eye
UI_Instrument_Play |= Play
UI_Lantern_On |= On
UI_Lantern_Off |= Off
UI_Slingshot_Draw |= Draw
UI_Tool_Mine |= Mine
UI_Tool_Dig |= Dig
UI_Tool_Tap |= Tap
UI_Tool_Water |= Water
UI_Tool_Gather |= Gather
UI_Tool_Plant |= Plant
UI_Tool_Climb |= Climb
UI_Tool_Change_Seed |= Change
UI_Tool_ContainRelease |= Contain/Release
UI_Tool_GoHome |= Go home
UI_Tool_Teleport |= Teleport
UI_Tool_Rest |= Rest
UI_Tool_PlayMusic |= Play music
UI_Tool_Whistle |= Whistle
UI_Tool_Default |= Use
UI_Tool_TriggerRain |= Trigger rain
UI_Tool_TriggerStorm |= Trigger storm
UI_Tool_TriggerBlizzard |= Trigger blizzard
UI_Tool_TriggerSnow |= Trigger snow
UI_Tool_TriggerCalm |= Trigger calm weather
UI_Tool_TriggerWind |= Trigger winds
UI_Tool_TriggerFog |= Trigger fog

UI_ChangeLog_Log |= Log

UI_ChatHistory_ChatHistory |= Chat History

UI_Progress_NPCs |= NPCs met
UI_Progress_Items |= Items found
UI_Progress_Shops |= Businesses owned
UI_Progress_Tax |= Tax due
UI_Progress_FairweatherItems |= Fairweather items
UI_Progress_Misc |= Misc Stats
UI_Progress_Skill |= Skills
UI_Progress_Achievements |= Achievements
UI_Progress_AchievementHiddenTitle |= Secret
UI_Progress_AchievementHidden |= This achievement is secret. The more you play, the more likely you are to unlock it!
UI_Progress_FairweatherTaxYear |= 1 year
UI_Progress_FairweatherTaxYears |= <VAR1> years
UI_Progress_Misc_PlayerMarriages |= Player marriages
UI_Progress_Misc_PlayerChildren |= Player children
UI_Progress_Misc_PlayerDivorces |= Player divorces
UI_Progress_Misc_FishCaught |= Fish caught
UI_Progress_Misc_CombatWins |= Combat wins
UI_Progress_Misc_CombatDeaths |= Combat deaths
UI_Progress_Misc_CombatEscapes |= Combat escapes
UI_Progress_Misc_DamageDealt |= Combat damage dealt
UI_Progress_Misc_TotalTax |= Total tax
UI_Progress_ShopRep |= <VAR1>/<VAR2> REP
UI_Progress_7Day |= 7 Day
UI_Progress_14Day |= 14 Day
UI_Progress_56Day |= 56 Day
UI_Progress_RegionApothecary |= <VAR1> Apothecary
UI_Progress_RegionBlacksmith |= <VAR1> Blacksmith
UI_Progress_RegionGoodsStore |= <VAR1> Goods Store
UI_Progress_ShopCount |= Own <VAR1>/<VAR2>
UI_Progress_CustomisationUnlocked |= <VAR1> <VAR2>
UI_Progress_CustomisationTotalUnlocked |= <VAR1>/<VAR2> Total
UI_Progress_CustomisationPlaced |= •<VAR1> placed
UI_Progress_CustomisationPlacedLimit |= •<VAR1>/<VAR2> placed
UI_Progress_CustomisationBuilt |= •<VAR1> built
UI_Progress_CustomisationBuiltLimit |= •<VAR1>/<VAR2> built
UI_Progress_CustomisationStorage |= •<VAR1> in storage
UI_Progress_CustomisationRotate |= •Can rotate/flip
UI_Progress_CustomisationColor |= •Can recolour
UI_Progress_AlreadyHaveDoor |= •House already has a door
UI_Progress_CustomisationUnlock_Challenges |= 도전을 통해 잠금 해제됩니다.
UI_Progress_CustomisationUnlock_Fairweather |= Unlocked by Fairweather.
UI_Progress_CustomisationUnlock_FamilySecret |= Unlocked by family secret boxes.
UI_Progress_CustomisationUnlock_NPCs |= Unlocked through friends.
UI_Progress_CustomisationUnlock_NPCs_Vale |= Unlocked through Vale friends.
UI_Progress_CustomisationUnlock_NPCs_Summerdown |= Unlocked through Summerdown friends.
UI_Progress_CustomisationUnlock_NPCs_Mellowfields |= Unlocked through Mellowfields friends.
UI_Progress_CustomisationUnlock_NPCs_Woemarsh |= Unlocked through Woemarsh friends.
UI_Progress_CustomisationUnlock_Proverbs |= Unlocked by collecting the specific fruit.
UI_Progress_CustomisationUnlock_Squeal |= Unlocked in Squeal Or No Squeal.
UI_Progress_CustomisationUnlock_Trader |= Unlocked through a trader.
UI_Progress_CustomisationUnlock_Task |= Unlocked through a task.

UI_Progress_Events_VegShow_Desc |= Every 12th Autumn in 파인페어, folks bring their finest vegetables to compete to be crowned best grower. Get planting those high Star Rating veg.
UI_Progress_Events_GreatQuillishBakeOff_Desc |= Every 12th Summer in FestField, hungry people watch the Great Quillish Bake Off. A different theme is announced each year to test everyone's culinary range!
UI_Progress_Events_FishingComp_Desc |= In Greymarket, on the 12th Winter annually, you can participate in a competition to see who is the best angler. Points are awarded for Star Rating and variety.
UI_Progress_Events_FlowerShow_Desc |= Head to Festival Green on the 12th Spring with your best blooms for the annual competition for aspiring gardening champions.
UI_Progress_Events_BlossomDance_Desc |= Celebrate the coming of Spring on the 2nd day in 파인페어. 
UI_Progress_Events_MaypoleDance_Desc |= Sumer is icumen in. Dance to celebrate good health and fertility in 1st Summer in Westfield.
UI_Progress_Events_SamainDance_Desc |= Vale folk gather on the 8th of Autumn in Cuckoo Wood to dance around the Cuckoo Tree in reverence to the spirits of the departed.
UI_Progress_Events_FestivalOfFelDance_Desc |= The Fae are celebrated with this dance on 5th Winter in Greymarket. Don't slip on the ice!
UI_Progress_Events_GhostTrader_Desc |= A wandering trader, killed by unknown forces, still sells goods on certain nights in Rivermoor. Persistent for your Brass.
UI_Progress_Events_BlackBarrag_Desc |= A week before someone passes away, you can see the one-eyed messenger of death, Black Barrag, sitting patiently outside their home. Meaner than it looks.
UI_Progress_Events_FredBarleycorn_Desc |= Jolly old Fred is a funny sight, bouncing through Summerdown on the 4th of Summer. Slingshot him for candies.
UI_Progress_Events_TicklingTomHookfingers_Desc |= Funny old Tom appears in Autumn in Mellowbrook. If he catches you, he steals your items! Slingshot him to try to get them back before he escapes!
UI_Progress_Events_ChickenMigration_Desc |= On 6th Spring, hordes of chickens march across Mellowfields on their way to the far east of Summerdown on their annual migration. It is a great time to stock up on eggs!
UI_Progress_Events_BloodMoon_Desc |= A Blood Moon appears every three weeks between 9 pm and 5 am. Combat during this time is faster and tougher but more exciting!
UI_Progress_Events_SpiritWalk_Desc |= On 8th Winter each year, the dead shuffle north on their way to The Circle, where they make their offerings. Shine your Obscura at them to make them drop items for the taking.
UI_Progress_Events_Eclipse_Desc |= Every five weeks, during daylight hours, Luminos stands in front of Solnir, and the shadow that falls on Quill, makes Elite monsters appear in the dark forests to bathe in the shade.
UI_Progress_Events_LuckyLuckyStar_Desc |= Sometimes, you may see a Lucky Star crash into the ground on your travels. Chase the flying shards and interact at the right time to capture them and gain some excellent ores!
UI_Progress_Events_ThickFog_Desc |= Every so often, Quill is enshrouded in a yellow fog that makes every person's intelligence drop to erm, that number that is less than 2. Or is it higher?
UI_Progress_Events_FishFrenzy_Desc |= Watch for masses of bubbles in Autumn and Winter. This means lots of fish are spawning, so get your rod busy!
UI_Progress_Events_MushroomSporing_Desc |= In Summer and Autumn, yellow spores drift through the air as the mushrooms of Quill grow at an increased rate and yield extra when harvested. They regrow within hours so that you can gather even more.
UI_Progress_Events_FlowerBloom_Desc |= Watch for coloured petals filling the air. During this time, flowers grow every few hours and yield more. Happens in Spring and Summer.
UI_Progress_Events_OreRush_Desc |= In Winter and Spring, the ore nodes of Quill glint and shine as Fae magicks refill them at an increased rate. Extra yields can be gained during this time.
UI_Progress_Events_CabaretDuFae_Desc |= This Fae market opens its doors to the invited between 8 pm and 4 am, once per season. Go there for quality goods and good cheer.
UI_Progress_Events_Stockwood_Desc |= Between the hours of 8 pm and 4 am, once per season, a door in Evergreen opens to allow those invited to browse quality wares and chitchat with the Elders.
UI_Progress_Events_Epidemic_Desc |= Once per season, inflicting too many negative Traits onto villagers may cause an epidemic that imposes that Trait on many others. Stock that Apothecary! There are other triggers to be watchful for, such as Perks or rewards. They may also happen at random in certain seasons.
UI_Progress_Events_Craving_Desc |= One of the winning items in a competition may trigger a craving as folk seek out the current tastiest fare! There are other potential triggers, too, linked to Perks, task rewards, and random seasonal occurrences.
UI_Progress_Events_Fad_Desc |= Villagers will want the very latest fashion in Tools and Weapons. Fads can be triggered by clearing a dark forest with a particular weapon. Sometimes a fad can be triggered seasonally at random or via Perks and certain task rewards.

UI_Progress_Misc_TotalTax |= 총 세금

UI_Progress_Challenges |= 도전
UI_Progress_Profile |= 명성
UI_Progress_Lineage |= 혈통
UI_Progress_Story |= 스토리
UI_Progress_Customisation |= 커스터마이징
UI_Progress_Relationships |= 관계
UI_Progress_ShopsTitle |= 가게
UI_Progress_Monsters |= 몬스터
UI_Progress_Events |= 이벤트
UI_Progress_Skills |= 기술
UI_Progress_Achievements |= 도전 과제
UI_Progress_ItemsTitle |= 아이템
UI_Progress_Combat |= 전투
UI_Progress_Combat_Defeated |= Defeated <VAR1>
UI_Progress_Lineage_Born |= Born <VAR1>
UI_Progress_Lineage_Married |= Married <VAR1>
UI_Progress_Lineage_Adopted |= Adopted <VAR1>
UI_Progress_Events_Undiscovered |= Event undiscovered.
UI_Progress_Events_Social |= Social
UI_Progress_Events_Encounters |= Encounters
UI_Progress_Events_Environmental |= Environmental
UI_Progress_Events_SecretMarket |= Markets
UI_Progress_Events_VegShow |= Vegetable Show
UI_Progress_Events_GreatQuillishBakeOff |= Great Quillish Bake Off
UI_Progress_Events_FishingComp |= Fishing Competition
UI_Progress_Events_FlowerShow |= Flower Show
UI_Progress_Events_GhostTrader |= Ghost Trader
UI_Progress_Events_BlackBarrag |= Black Barrag
UI_Progress_Events_TicklingTomHookfingers |= Tickling Tom Hookfingers
UI_Progress_Events_BlossomDance |= Blossom Dance
UI_Progress_Events_MaypoleDance |= Maypole Dance
UI_Progress_Events_SamainDance |= Samain Dance
UI_Progress_Events_FestivalOfFelDance |= Festival of Fel Dance
UI_Progress_Events_ChickenMigration |= Chicken Migration
UI_Progress_Events_SpiritWalk |= Spirit Walk
UI_Progress_Events_BloodMoon |= Blood Moon
UI_Progress_Events_Eclipse |= Eclipse
UI_Progress_Events_FishFrenzy |= Fish Frenzy
UI_Progress_Events_MushroomSporing |= Mushroom Sporing
UI_Progress_Events_FlowerBloom |= Flower Bloom
UI_Progress_Events_OreRush |= Ore Rush
UI_Progress_Events_InsectSwarm |= Insect Swarm
UI_Progress_Events_CabaretDuFae |= Cabaret Du Fae
UI_Progress_Events_Stockwood |= Stockwood
UI_Progress_Events_Epidemic |= Epidemic
UI_Progress_Events_Craving |= Craving
UI_Progress_Events_Fad |= Fad
UI_Progress_Events_ThickFog |= Thick Fog
UI_Progress_Events_LuckyLuckyStar |= Lucky Lucky Star
UI_Progress_Events_FredBarleycorn |= Fred Barleycorn

UI_Progress_Story_A_Prologue |= 프롤로그
UI_Progress_Story_A_MeetTwig |= 트위그
UI_Progress_Story_A_MeetHubbard |= 늙은 마더 허바드
UI_Progress_Story_A_Summertide |= 서머타이드
UI_Progress_Story_A_Fairweather |= 계약
UI_Progress_Story_B_PostPrologue |= Post Prologue
UI_Progress_Story_B_PlantKynseed |= 킨시드 심기
UI_Progress_Story_B_Jogon |= 조곤과 함께 전투 배우기
UI_Progress_Story_B_Moon |= 궁수 문
UI_Progress_Story_B_Grandmasters |= 그랜드 마스터
UI_Progress_Story_C_Tier1 |= Renoun Tier 1
UI_Progress_Story_C_MissingChickens |= 잃어버린 닭
UI_Progress_Story_D_Tier2 |= Renoun Tier 2
UI_Progress_Story_D_Totem |= 어둠의 토템
UI_Progress_Story_D_Marshtyt |= Marshtyt, the Master Gardener
UI_Progress_Story_D_MissingChild |= 실종된 아이
UI_Progress_Story_E_Tier3 |= Renoun Tier 3
